Ole Thestrup på slankekur: Det har ændret mit liv; For et halvt år siden orkede en overvægtig Ole Thestrup ikke at gå op i sit soveværelse på husets første sal, hvis han skulle slappe af. I dag ser skuespillerens liv helt anderledes ud. I efteråret valgte han nemlig at tage kampen op mod de overflødige kilo ved at hoppe på den såkaldte Dukan-kur, hvor man skal spise masser af proteiner. - Det har ændret mit liv at gå på kur. Jeg kan stadig spise en burger i ny og næ. Men før spiste jeg burgere hver dag, fortæller Ole Thestrup til tv2.dk. Den 65-årige skuespiller indrømmer, at der tidligere ikke var grænser for, hvor meget han puttede i munden. Ketchup til det hele - Jeg åd. Sovsen kunne simpelthen ikke blive fed nok. Og der skulle ketchup til det hele. Masser af ketchup, forklarer Thestrup, som nu håber, at hans vægttab kan nå ned på 95 kilo. - Jeg kan mærke det rigtig meget, at jeg har tabt 16 kilo. Jeg kan holde til meget mere. Tidligere skulle jeg have en stol at sidde på hvert andet minut, når jeg arbejdede, men det skal jeg ikke mere, siger han til tv2.dk.   ;Torsdag, 6. februar 2014
TV-værten Mikkel Kryger får nyt job;" Når TV 2 til april blænder op for det nye sangprogram ”Voice – Junior” bliver det med 30-årige Mikkel Kryger i værtsrollen. Den erfarne ”Go’ morgen Danmark”-vært glæder sig til, at han skal guide seerne igennem sangkonkurrencen, hvor unge sangspirer mellem otte og 14 år skal kæmpe om vindertitlen. - Det er en drøm at skulle være med til at lave et show som ”Voice – Junior”. Det er fest, farver og børn. Børn er umiddelbare og dejlige, hvis de får lov til at give den gas, siger Mikkel Kryger til tv2.dk. Dybt umusikalsk Selv om han bliver vært på et program med sang og musik, så betyder det dog ikke, at han har erfaring inden for netop det område. - Jeg er dybt umusikalsk. Jeg har gået til noget kor i min folkeskoletid, men det var mest fordi, jeg godt kunne lide en af pigerne, fortæller Mikkel Kryger til tv2.dk. Optagelserne til ""Voice - Junior"" skydes i gang til marts, og finalen bliver sendt live på TV 2 fredag den 23. maj. ";Torsdag, 6. februar 2014
Natacha Nikita har fået en kæreste;" - Han er meget, meget sød. Og meget anderledes end de typer, jeg plejer at falde for. Jeg har nok altid været pigen, som søgte de forkerte fyre. Men min kæreste er helt stille og rolig og accepterer mig for den, jeg er, siger 22-årige Natacha Nikita fra ""De unge mødre"" på Kanal 4. Hun har kendt sin kæreste i flere måneder, men det var først i januar, hun helt overgav sig en aften og sagde ”Jeg er jo din.” Hvem han er, vil hun ikke røbe, for hendes nye 29-årige kæreste er en meget privat mand, som heller ikke bryder sig om at færdes på gaden med Natacha Nikita, fordi hendes kendte ansigt ofte får folk til at kigge. Ikke fordi han er flov over hende. Men fordi han ikke bryder sig om opmærksomheden. Til gengæld skræmmer det ham ikke, at Natacha Nikita stadig er meget påvirket af, at hendes søn blev taget fra hende. Han lytter på hendes problemer, og for nylig mødte han også Remi, som kommer hjem til Natacha Nikita fire timer hver anden fredag. Det var dog ikke ren familieidyl - Remi har altid kun haft mig, så han kunne ikke rigtig magte det, hvis min kæreste holdt mig i hånden. Så lagde han armene rundt om mig og sagde, at han kun var min dreng. Det gjorde selvfølgelig ondt, for jeg vil jo så gerne have en rigtig familie, hvor Remi er en del af det, siger den unge mor, som dog opdagede, at kæresten og Remi hyggede sig, når de var alene. - På et tidspunkt stod de og vaskede op i køkkenet, og så kunne jeg jo høre, at de godt kunne snakke sammen. Min kæreste tacklede det også rigtig godt. Natacha Nikita  er ikke i tvivl om, hvorfor hun har levet som single så længe. I hendes øjne var det ikke muligt at finde kærligheden, efter Remi blev tvangsfjernet meget mod hendes vilje. - Efter jeg mistede Remi følte jeg ikke, jeg fortjente kærligheden. Jeg følte ikke, jeg kunne tillade mig at være lykkelig, når jeg ikke kunne passe på Remi. Jeg havde jo også mistet en, jeg elskede, så jeg ville ikke lukke kærligheden ind igen, siger den unge mor, som stadig kan blive overmandet af de negative følelser, selv om hun endelig har åbnet op for en kæreste. Har fået hjælp fra en mentor - Jeg er rigtig glad for min kæreste, men engang imellem føler jeg ikke, at jeg er værdig til at have ham. Det betyder, at jeg ikke altid er lige sød. Jeg bliver hurtig sur, og det kan være svært for mig, hvis han kommer for tæt på, siger Natacha Nikita, som prøver at ændre sine negative tanker. Blandt andet mødes hun en gang om ugen med en mentor, som forsøger at få den unge mor til at lade være med at slå sig selv i hovedet. Mentoren har hun fået gennem sit jobcenter, og hun er en stor hjælp i den unge mors liv. Både når det handler om lektier, sund kost og Natacha Nikitas evne til at udtrykke sig mere diplomatisk. LÆS OGSÅ: Natacha Nikita fortæller, at hun aldrig får sin søn hjem igen LÆS OGSÅ: Nu ser Katherina fra De Unge Mødre igen sin søn     ";Torsdag, 6. februar 2014
Ellen Trane Nørby: Ikke fair over for et lille barn; Venstre-politikeren Ellen Trane Nørby var spidskandidat til Europa-parlamentsvalget i april, men nu har hun valgt at trække sig. Den 34-årige politiske ordfører er nemlig gravid i tredje måned og føder til august. Derfor mener hun ikke, at hun kan passe et job i udlandet. - Jeg synes ærligt talt ikke, der er fair over for et lille barn, at jeg skal ligge og pendle mellem Sønderborg til Bruxelles og Strausbourg flere gange om ugen, siger Ellen Trane Nørby til BT. Tænker på danskerne - Det er heller ikke fair over for de danske vælgere, at jeg begynder med at gå på barsel, tilføjer politikeren. Ellen Trane Nørby er gravid med sit første barn, og den vordende far er hendes kæreste Ulrik Ryssel Albertsen, 37, der arbejder som konsulent for Foreningen af Rådgivende Ingeniører. Politikeren er opvokset i Vestjylland, og hun blev valgt ind i Folketinget i 2005. I 2011 blev hun Vestres politiske ordfører. ;Torsdag, 6. februar 2014
Camilla Andersen viste ny kæreste frem; Onsdag aften løb årets AXGIL Gay Galla-show af stablen i Cirkusbygningen i København, hvor flere kendisser mødte op for at støtte op om prisuddelingen for homoseksuelle. Et af de kendte ansigter var den tidligere håndboldstjerne Camilla Andersen. Hun havde en kvinde ved sin side, som, hun afslørede, er hendes nye kæreste Trine Falck. Bor endnu ikke sammen - Vi har kun været sammen i et halvt år. Vi bor ikke sammen endnu, men det varer ikke længe, fortalte en glad Camilla Andersen til BILLED-BLADET. Den 40-årige sportskvindes nye kærlighed er folkeskolelærer og løbetræner, og parret deler derved interessen for løb og et aktivt liv. Camilla Andersen har tidligere været gift med den norske håndboldspiller Mia Hundvin. Efter skilsmissen i 2003 fandt hun sammen med håndboldspilleren Signe Pedersen, som hun dannede par med i over otte år.  ;Torsdag, 6. februar 2014
Lise Rønne vil i form før Melodi Grand Prix; Lise Rønne har knapt fattet, at hun har fået det prestigefyldte job som den kvindelige vært ved det Internationale Melodi Grand Prix, Eurovision Song Contest, i maj i København. Først nu skal hun i gang med forberedelserne – men 35-årige Lise har nået at beslutte, at hun vil være i topform til den europæiske TV-fest. - Jeg er et af de mest kropsdovne mennesker, jeg selv kender. Jeg kunne aldrig overveje at løbe en tur – men det agter jeg faktisk at gøre nu. Vi kommer til at levere 9-12 shows på en uge – tre af dem TV-transmitterede – og det er lange shows. I den forbindelse tænker jeg helt konkret, at det giver mening at være i god form. Så det vil være en udfordring, jeg vil tage på mig de næste måneder, siger Lise Rønne. Beskeden om at hun havde fået jobbet, blev dog ikke fejret med en løbetur – men med en skænk med kæresten, fortæller hun: - Vi besluttede os for at åbne en flaske champagne, og vi gik ikke i seng, før den var tom! ;Onsdag, 5. februar 2014
Sarah Grünewald fylder rundt på øde ø; Først blev Sarah Grünewald forlovet på sin ferie. Og nu bliver hun forkælet. ”Vild med dans”-værten Sarah Grünewald er på en to måneder lang romantisk rejse med kæresten Rasmus Backhaus - og i dag, hvor hun fylder 30 år, bliver hun fejret med manér på Maldiverne: ”Dejligste fødselsdag nogensinde! Tak for de fineste hilsner hjemmefra! Jeg er på vej ud på en lille ø der hedder One Palm Island, hvor der står en kok og en tjener og venter på Ras og jeg! Der skal drikkes pagne (champagne, red.) og spises lækker mad! Kan nærmest ikke få armene ned!”, skriver Sarah Grünewald på Instagram, hvor hun har postet et foto af sig selv i sommerkjole på solbrun hud. Sarah Grünewald har også postet et foto af en lækker fødselsdagskage med tre lys og et foto med brev hjemmefra. ”Dejligste start på de 30 år. Tak skat!”, skriver Sarah Grünewald På Sarah Grünewald og Rasmus Backhaus' lange ferie besøger de Thailand, Sri Lanka, Seychellerne og Maldiverne. Se Sarah Grünewald på sin fødselsdag på Instagram-profilen her. ;Onsdag, 5. februar 2014
TV-serien Borgen vækker begejstring i USA;" DR-serien ”Borgen” lagde gaderne øde, da den rullede over skærmen herhjemme – og nu vækker serien begejstring på den anden side af Atlanten. Sidste sæson af den danske serie er netop udkommet på dvd, og anmelderne er begejstrede. Det skriver Jyllands-Posten. Flere amerikanske medier mener sågar, at ”Borgen” er bedre end amerikanske hitserier som ""The West Wing"" og ""House Of Cards"". ""Borgen er den bedste politiske tv-serie nogensinde,"" skriver lektor i statskundskab Stephen Benedict Dyson i The Washington Post. En forfriskende forveksling Især fremhæver Dyson Sidse Babett Knudsen i hovedrollen som hende, der for alvor giver serien karisma. Derudover mener han, at DR-serien afspejler en forfriskende afveksling til den fastlåste blokpolitik i USA. ""Sidse Babett Knudsens portræt af statsministeren viser en fantastisk blanding af styrke og humanitet. Nyborg er med sine egne ord en kvinde med vilje nok til at indrømme sine fejl,"" skriver anmelderen. Første sæson af ”Borgen” blev vist i efteråret 2010 på DR, mens den tredje og sidste sæson rullede over skærmen i 2013.   ";Onsdag, 5. februar 2014
Klaus Riskærs gravide ekskæreste bliver mor til en pige;" Finansmanden Klaus Riskær er far til fire drenge – og snart bliver han for første gang far til en pige. Ekskæresten Laura Petersen, som blev gravid, da hun sidste år indledte et stormfuldt forhold til Klaus Riskær, kender nemlig nu kønnet på den baby, hun venter: - Nu kan jeg ikke holde på hemmeligheden længere. Det bliver en pige, jubler Laura Petersen til BT. Forholdet til Klaus Riskær endte brat med graviditeten, fordi han hævdede, at han aldrig havde ønsket at stifte familie med Laura. Har fundet et navn til pigen Nu har Laura selv valgt navnet til sin førstefødte, som hun er sat til at føde 21. juni. - Hun skal hedde Isabella, og navnet betyder ""den, der ærer Gud"". Allerede som barn tænkte jeg, at hvis jeg nogensinde fik en pige, skulle hun hedde Isabella. Jeg synes, det er et utroligt smukt navn. Og nu, jeg skal være alenemor, har jeg ingen, jeg skal aftale navnet med, siger hun til avisen. Laura har informeret Klaus Riskær om barnets køn, men forventer ikke, at det er hos ham, hun skal hente hjælp, når baby kommer. - Jeg har en skøn familie i Jylland, der elsker mig og bakker mig op nu. Min mor glæder sig og kalder babyen for en lille engel. Min mor skal nok komme og passe den lille, når der er brug for det, sagde Laura for nylig til BILLED-BLADET. Til Ekstra Bladet udtaler Klaus Riskær onsdag eftermiddag, at han glæder sig til at få besøg af sin datter: - Jeg vil gerne understrege, at jeg vil være der for barnet. Men det er kun for barnets skyld - ikke for Lauras. Det må jeg gøre helt klart. Et spædbarn er jo lidt svært at transportere rundt i systemet, men det er klart, at når barnet er halvandet år, så ændrer tingene sig jo. Så kan jeg jo nemmere have barnet på besøg, og det glæder jeg mig naturligvis til. ";Onsdag, 5. februar 2014
Michael Falch husker tydeligt sin værste ferie; Michael Falch er en berejst herre, men alligevel har en særlig ferie for 28 år siden prentet sig ind i hukommelsen på den 57-årige sanger. Det blev ganske enkelt hans livs værste rejse, da han valgte at tage på charterferie til Cypern med sin ekskone og deres ældste datter, Anna. Charterferie var ikke et hit for den fire måneder gamle baby. Græd hver eneste nat - Hun led forfærdeligt af kolik og græd hver eneste nat, og jeg var nødt til at forlade hotellet med hende, for hun vækkede jo alle. Hele ugen kørte jeg rundt med klapvognen om natten, indtil solen stod op. Alle vidste, hvem faren var til den skrigende unge, og jeg vil godt benytte denne lejlighed til at takke de øvrige gæster for deres helt utrolige tålmodighed, siger Michael Falch til Politiken. Hans bedste rejse var til gengæld en tur til Østrig for fem år siden med kæresten Anita Brüner Olsen. Parret fulgte i sporet på Pontoppidans ”Lykke-Per”. - Skønt at være forelsket og bo i en gammeldags østrigsk kro med Pontoppidan i rygsækken, fortæller sangeren. ;Onsdag, 5. februar 2014
