title,url,text,date
Mads Christensens brevkasse: Min kones søn hader mig – hvad gør jeg?,https://bt.dk/kendte/mads-christensens-brevkasse-min-kones-soen-hader-mig-hvad-goer-jeg,"

Velkommen til B.T.s læserbrevkasse med Mads Christensen. Stil dit spørgsmål herunder eller skriv til Mads@bt.dk.









",2021-08-07
Felix afslører: Hemmelig ferie med kæresten på Cayx,https://bt.dk/royale/felix-afsloerer-hemmelig-ferie-med-kaeresten-paa-cayx,"

Prins Felix har haft en begivenhedsrig sommer.
23. juni fik han studenterhuen på, og efterfølgende fulgte studenterfesterne.


 

Oven på sådan en omgang kan det være rart at læne sig tilbage og lægge fødderne op. Det er netop, hvad prins Felix har gjort – vel at mærke på en destination, der betyder noget ganske særligt for Kongehuset.
»Jeg har været på Cayx. Det er meget længe siden, jeg har været der. Det var bare mig med nogle venner. Vi nød bare området og så forskellige turistattraktioner,« forklarede han til B.T. ved Copenhagen Historic Grand Prix, hvor hans far, prins Joachim, deltager.
 








                                            Prins Felix efter at han er blevet student fra Gammel Hellerup Gymnasium, onsdag den 23. juni 2021. – og fortsat havde sine lange lokker. (Foto: Mads Claus Rasmussen/Ritzau Scanpix)
                                                                Foto: Mads Claus Rasmussen


Vis mere


                                            Prins Felix efter at han er blevet student fra Gammel Hellerup Gymnasium, onsdag den 23. juni 2021. – og fortsat havde sine lange lokker. (Foto: Mads Claus Rasmussen/Ritzau Scanpix)
                                                                Foto: Mads Claus Rasmussen




Château de Cayx i Frankrig har været ejet af den royale familie siden 1974.
Det var dog ikke kun vennerne, som prins Felix havde selskab af.


 

»Jo, det var det faktisk,« lød det med et smil på læben fra prinsen, da B.T. spurgte ind til, om ferien i det franske også var med kæresten. Karen Bak.
Tidligere på året kom det frem, at prins Felix går fra skolebænken til hæren, hvor han starter på løjtnantuddannelsen.
Noget, der vækker en smule nervøsitet.
»Ja, det er jeg selvfølgelig (nervøs for at starte, red.). Det er jo noget helt nyt, men jeg tror nok, det skal blive godt,« sagde han.


 

Håret har den unge prins i hvert fald allerede på plads. Den karseklippede frisure, han anlagde sig allerede i begyndelsen af studenterugen, er blevet holdt ved lige henover sommeren.
Flere gange er grevinde Alexandra trådt til med trimmeren, men prins Felix satser på snart at kunne tage sagen i egen hånd.
»Jeg er så småt begyndt at øve mig på selv at gøre det. Jeg tænker da at beholde det på den her måde.«

",2021-08-07
Amerikansk komiker i sorg: Søn død i bilulykke,https://bt.dk/kendte/amerikansk-komiker-i-sorg-soen-doed-i-bilulykke,"

Tre personer døde tirsdag aften i et biluheld i Californien.
En af dem var komikeren Tony Bakers ældste søn, 21-årige Cerain Baker.


 

»Det føles ikke virkeligt. Sorgen kommer i bølger. Vi græder ukontrolleret, og så er det tilbage til en normal samtale«, fortæller han til NBC4.
Ifølge politiet var Cerain Baker, sammen med bilens tre andre passagerer, involveret i et gaderæs med to andre biler.

      


 
  View this post on Instagram

 
   

  

   

   
A post shared by CERTIFIED CB. (@cerainb)
 


På et tidspunkt rammer føreren af en grå Kia ind i den Volkswagen, vennerne kørte i. Det fik fatale konsekvenser.
I ulykken mistede også 20-årige Jaiden Kishon Johnson og 19-årige Natalee Asal Moghaddam livet, mens den fjerde mand blev hårdt kvæstet.


 

Allerede da ambulanceredderne ankom til ulykkesstedet, var de unge mennesker bevidstløse.
Også Cerain Bakers bror, den et år yngre Cencere Baker, sætter nogle ord på tabet.
»Han var en fyr, alle elskede – så likeable. Vi gik i skole sammen, og man kunne tydeligt mæke, hvordan alle holdt af ham,« fortæller han.
Cerain Baker var blandt andet musiker og fodboldspiller.

",2021-08-07
Birgitte Hjort: Fra babyboble til Borgen,https://bt.dk/underholdning/birgitte-hjort-fra-babyboble-til-borgen,"

        Den 39-årige stjerne har scoret internationale roller i supersucceser som ""Game of Thrones"". Men nu vender hun tilbage til det, der kickstartede karrieren.
    

Hun har været med i fantasysuccesen ""Game of Thrones"" og i den internationale musicalkomedie ""Pitch Perfect"" og ikke mindst i DR-dramaet ""Borgen"".
Men sidste forår indtog den danske stjerneskuespillerinde Birgitte Hjort for anden gang sit livs rolle, da hun blev mor til endnu en datter.


 

- Pandemien ramte for mig lige ned i en barsel. Jeg fødte mit andet barn lige i første lockdown, så jeg har været væk, som jeg alligevel ville have været, fortæller hun på den røde løber til gallapremieren på Bille Augusts storfilm om Karen Blixen, ""Pagten"".
- Jeg synes, jeg har været heldig med begge piger at kunne tage en god, lang barsel og virkelig nyde den første tid, siger den 39-årige skuespillerinde og fortæller med et stort smil, at det går rigtig godt med begge døtre.
I januar vendte Birgitte Hjort tilbage på job efter ni måneders barsel og direkte ind på optagelserne af den længe ventede fjerde sæson af ""Borgen"".
Her genoptager Birgitte Hjort sin gennembrudsrolle fra 2010 som den ambitiøse journalist Katrine Fønsmark, som siden er blevet nyhedschef for en landsdækkende tv-station.


 

Her får Katrine Fønsmark testet sin upartiskhed over for Birgitte Nyborg, som hun i sin tid var rådgiver for, da Birgitte Nyborg - spillet af Sidse Babett Knudsen - var statsminister.
- Det er en stor fornøjelse, men noget, jeg troede, vi aldrig skulle gøre. Jeg har i mange år sagt nej, når folk har spurgt, om ikke der kom endnu en sæson. For det troede vi virkelig ikke, der gjorde. Så det var først og fremmest en stor overraskelse, siger Birgitte Hjort og fortsætter:
- Men da vi så begyndte at læse manuskripterne, havde jeg det lidt, som når man finder gamle venner på Facebook: Ah, det er dét, de har gået og lavet imens! For mig virker det, som om at universet hele tiden har eksisteret, men nu får vi så bare lov til at kigge ind igen. Det er et kæmpe privilegie.
Når fjerde sæson af ""Borgen"" får premiere næste år - først på DR og siden på Netflix - møder vi Birgitte Nyborg som nyligt udnævnt udenrigsminister. 


 

Her udfordres hun af en række begivenheder, der vokser i betydning, og som ender med at true både hendes position i regeringen, men også Danmarks relation til sine allierede.
Sagen viser sig hurtigt at få alvorlige indenrigspolitiske og klimapolitiske konsekvenser.
Serien har fulgt udviklingen i virkelighedens verden, fortæller Birgitte Hjort og afslører, at Katrine Fønsmark og hendes kolleger på den landsdækkende nyhedskanal skal navigere uden om fake news.
- Der er gået 10-12 år både for os og for karaktererne, og det er virkelig spændende at komme tilbage til. Som med så mange andre, når man bliver ældre, har Katrine også fået et mere nuanceret syn, og der er plads til lidt mere tvivl, hvor hun måske før var mere sort-hvid og altid følte, at hun havde ret.


 

- Det synes jeg også selv kommer med alderen. Man bliver klar over, at tingene måske ikke altid er så enkle. Der kan være gode argumenter på begge sider, lyder det fra Birgitte Hjort.
/ritzau/

",2021-08-07
Sara Blædel fik voldsom besked fra lægerne – det blev starten på succesen: 'Jeg kunne have været på invalidepension' ,https://bt.dk/kendte/sara-blaedel-fik-voldsom-besked-fra-laegerne-det-blev-starten-paa-succesen-jeg,"





Livet kørte på skinner. Uddannelsen var i gang, hun havde egen lejlighed, bil, hest. Men med ét slog fundamentet revner under hende. Revner, der blev endnu dybere, da lægernes dom ramte hende. »Det ender nok med invalidepension,« meddelte de.
»At ramme sådan en stopklods sidst i 20erne, at gå fra, at alt fungerer, til at det hele bare ramler fra hinanden – enten kan du gå med det, eller også …,« siger Sara Blædel og får et næsten trodsigt glimt i de brungrønne øjne.


 

'Krimidronningen' kaldes hun. Forståeligt nok. For med fem millioner solgte bøger verden over er hun ubetinget en af de største herhjemme inden for sin genre. Det er dér, hun er i dag.
Men skal det handle om hendes vej til succes, er det nødvendigt at spole tiden knap 30 år tilbage. Til dér, hvor fundamentet slog revner.
 








                                            'En underlig rejse' kalder krimidronningen Sara Blædel selv sin vej til succes.
                                                                Foto: Bax Lindhardt


Vis mere


                                            'En underlig rejse' kalder krimidronningen Sara Blædel selv sin vej til succes.
                                                                Foto: Bax Lindhardt




»Det er fandeme en underlig rejse,« siger hun selv med et smil og en hovedrysten om vejen.
Historien om hendes opvækst og lyst til at digte og finde på er velkendt. Historien om hendes ordblindhed også. Men det, der for alvor sendte hende i den rigtige retning, var langt mere alvorligt.


 



Vejen til succes



De står på succesens tinde. Har knoklet på vejen derop. Her får du historien om vejen og de bump, der har været på den.
Første interview i serien var med krimikongen Jussi Adler-Olsen. Andet interview med 'rengøringsdronningen' Birgit Aaby. I denne uge succesforfatteren Sara Blædel.



Fold ud



»Det kom som et lyn fra en klar himmel,« fortæller hun om den aften, hvor hun blev ramt af lammelse i den venstre arm og ubeskrivelige smerter og akut blev indlagt.
»Længe troede de, at det kunne være noget i hjernen – at det kunne være sklerose. Så jeg røg på intensiv med overvågning. Det endte med at koste tre år af mit liv ind og ud af neuromedicinsk.«
»I den periode gik jeg fra at have været superaktiv og have et liv, der fungerede, til at miste mit job og ikke engang at se min hest, før den blev aflivet. Alt blev bare skrællet af,« fortæller Sara Blædel om de år, hvor lægerne ikke kunne finde ud af, hvad hun fejlede. Og altså stillede hende et liv som invalidepensionist i udsigt.
 








                                            I mange år var Sara Blædel konkurrencerytter. Men da hun blev ramt af sygdom, måtte hendes hest aflives.
                                                                Foto: Liselotte Sabroe


Vis mere


                                            I mange år var Sara Blædel konkurrencerytter. Men da hun blev ramt af sygdom, måtte hendes hest aflives.
                                                                Foto: Liselotte Sabroe




Hun forstår godt dem, der synker ned i den revne. For er man først blevet indlemmet i hospitals-trummerummen, er det svært at hive sig selv op igen.


 

Men en kendetegnende ting for Sara Blædel er, at alt handler om valg. Og sådan et traf hun. Også dér.
Solens stråler kaster et varmt lys ind i den højloftede stue i den 221 kvadratmeter store lejlighed i indre København, som hun gav sig selv i fødselsdagsgave sidste år. 13 millioner kostede den. Et synligt symbol på, hvor langt hun er kommet på sin vej til succes.


Blå bog Sara Blædel



Født 6. august 1964 i København.
Voksede op i Hvalsø på Midtsjælland.
Uddannet tjener.
Påbegyndte siden en grafisk uddannelse som reprokopist, der dog aldrig blev færdiggjort.
Startede eget krimiforlag, Sara B.
Arbejdede som journalist på produktionsselskabet Metronome.
Debuterede som forfatter i 2004 med første bind i serien om Louise Rick, 'Grønt støv'.
11 bøger er foreløbig udkommet i den serie.
Har derudover skrevet en trilogi om bedemandens datter Ilka.
Aktuel med krimien 'Opløst', som hun har skrevet med Mads Peder Nordbo.
Udkommer i store dele af verden og har til dato solgt fem millioner bøger.
Modtog i 2015 'De Gyldne Laurbær' og har derudover vundet utallige priser.
Har sønnen Adam med sin eksmand, Jan Körner.
Har derudover været gift med Lars Kirchhoff. Parret blev skilt i 2014.
Bor i indre København.



Fold ud



Et stenkast derfra ligger Nyhavn, der igen er begyndt at sprudle af liv. Men det er kun 57-årige Sara Blædels lattermilde stemme, der fylder stuerne, når hun fortæller om, hvordan hun knækkede kurven ved at starte sit eget forlag.
»Selvom jeg ikke vidste det dengang, blev det min redningsplanke at udgive andres krimier som paperbacks og sælge dem for 49 kroner i supermarkeder og på tankstationer. Det blev en åbning ind til noget, som jeg faktisk kunne, og min vej ud af hospitals-trummerummen,« siger Sara Blædel, hvis smertefulde tilstand viste sig at skyldes, at hun havde et ekstra halsribben, som blev fjernet ved operation.


 

»Men på det tidspunkt havde jeg ikke skyggen af tanke om selv at skrive. Så det var på ingen måde en planlagt retning.«
Faktisk nåede hun at arbejde som journalist i nogle år, før ordene begyndte at krible i hende. Og i 2004 udkom hendes første bog, 'Grønt støv'.
 








                                            Sara Blædel elsker at være i øjenhøjde med sine fans. Her signerer hun bøger i et supermarked.
                                                                Foto: NF


Vis mere


                                            Sara Blædel elsker at være i øjenhøjde med sine fans. Her signerer hun bøger i et supermarked.
                                                                Foto: NF




»Det er sødt nok, at folk siger, at jeg så bragede igennem, men det gjorde jeg overhovedet ikke. Jeg tror, at den solgte 1.500,« griner Sara Blædel, som først med nummer to, 'Kald mig prinsesse', turde tage springet og sige sit job op. Selvom hun i mellemtiden var blevet enlig mor til sin søn, Adam.
»Det er 17 år siden, at min første kom. Det betyder, at jeg har holdt mig på bestsellerlisterne i 16 år. Og det er sgu ret vildt, ret lang tid at være på toppen. Men jeg synes ikke, at det har været nogen nem vej.«


 

»At fortælle historierne har ikke været svært, for jeg gør det kun, når den rigtige er der. Så der har jeg været pisseprivilegeret. Men jeg har også været enlig mor i en pæn række af de år. Og det var ikke, fordi jeg sad på et koldt loftrum, men jeg havde ingen penge – jeg havde ikke en krone,« siger Sara Blædel, som er taknemmelig for de legater, hun modtog i starten af sin karriere.
»De betød meget, men dækkede jo ikke, at jeg skulle have en husholdning til at køre. Så på den måde har jeg ikke været en kæmpe succes fra starten,« siger Sara Blædel, som i dag godt tør kalde sig netop det. En succes.


Jeg er ikke en fedterøv over for mig selv, men heller ikke en 'big spender'
Sara Blædel om sine mange penge



»Længe sagde jeg bare, at jeg skrev krimier – kaldte mig ikke engang forfatter. Men det gør jeg nu. Og jo, jeg kan godt sige, at jeg er en succes. Men jeg har knoklet for det. Og det har kostet. Kostet nogle valg.«
Fem millioner krimier er langet over diskene i 38 lande. Lige nu er hun aktuel med en ny, 'Opløst', som hun har skrevet med Mads Peder Nordbo. Men spørger man hende, hvor rig hun er, træder rynkerne frem i panden. Hun ryster hun på hovedet og siger uden krukkeri:


 

»Jeg aner det faktisk ikke. Men en pæn del efterhånden. Jeg ved kun, at jeg er virkelig god for skattevæsenet,« smiler Sara Blædel.
Faktisk er meget af hendes formue bundet op i fast ejendom. Som er den eneste hobby, hun har. Ud over selvfølgelig at slå folk ihjel på siderne.
 








                                            Selvom hun primært skriver sine krimier i sit sommerhus, har Sara Blædel selvfølgelig også indrettet et skriveværksted i den nye lejlighed.
                                                                Foto: Bax Lindhardt


Vis mere


                                            Selvom hun primært skriver sine krimier i sit sommerhus, har Sara Blædel selvfølgelig også indrettet et skriveværksted i den nye lejlighed.
                                                                Foto: Bax Lindhardt




»Det er jeg også ret god til, hvis jeg selv skal sige det. Jeg har lavet nogle handler, som jeg også har tjent gode penge på,« fortæller hun om sine boliginvesteringer.
»Jeg får selv løn. Jeg stikker ikke bare kloen ned – er egentlig meget fornuftig. Jeg er ikke en fedterøv over for mig selv, men heller ikke en 'big spender',« siger hun og understreger, at det at blive rig aldrig har været en drivkraft for hende. Og indrømmer også gerne, at hun aldrig havde set så stor en succes komme.






Mistede hele lortet


Hvornår opdagede du, at var millionær?
»Det kan jeg ikke huske. Til gengæld husker jeg, at da jeg havde 300.000-400.000 stående i banken, følte jeg mig rig. Havde for første gang i mit liv en vis tryghed og fundament ved at have tjent, hvad jeg syntes var mange penge. Desværre stod de i Amagerbanken, så jeg mistede hele lortet, da de krakkede. Jeg fik nogle små dryp tilbage, men penge fik en helt anden betydning for mig efter det chok, jeg fik.«
Hvad var den første store ting, du købte?
»Den første gang, jeg rigtig slog til søren med skejserne, var, da jeg købte en havetraktor. Det er den første vilde og mest dekadente ting, jeg har købt. En orange Husqvarna havetraktor. Jeg elskede den, og at køre på den og slå græs på ti minutter var en af de største glæder. Jeg kunne også have købt en lækker taske. Men det gjorde jeg altså ikke.«
Hvad betyder penge for dig?
»Jeg ved godt, at det er tarveligt at sige, men frihed til at gøre, hvad jeg har lyst til. For jeg mangler jo ikke mere. Det, der giver værdi i livet nu, er oplevelser, at lave noget sjovt, og ikke mindst at have råd til at sige nej til ting, som man ender med at få ondt i maven over.«


Fold ud



»Jeg skal da stadig nive mig i armen over, at mine bøger – og også den seneste med Mads – bliver taget så godt imod. Det er så overvældende og holder ikke op med at glæde mig, at noget, som jeg bliver ved med at have det sjovt med, stadig underholder folk.«
»Tænk, at få en økonomisk frihed ud af det, der stadigvæk er en leg, hvor jeg sidder og rykker rundt på, hvem der skal være de gode, og hvem der er de onde.«
Så smiler hun glad. Hende, der kunne være endt som invalidepensionist.
»Hold kæft, en rejse. Og den er jo slet ikke slut endnu.«

",2021-08-07
Jim Belushi skal skilles efter 23 år,https://bt.dk/kendte/jim-belushi-skal-skilles-efter-23-aar,"

Efter 23 år som mand og kone skal Jim Belushi og hans hustru, skuespillerinden Jennifer Sloan, skilles.
Det er den 67-årige 'According to Jim'-stjerne, der har indsendt skilsmissedokumenterne til retten i Los Angeles.


 

Det skriver blandt andre TMZ og Page Six.
Ifølge de amerikanske medier indgav Jim Belishi papirerne fredag.
Det er anden gang, at han og hustruen anmoder om skilsmisse inden for de seneste tre år.
I marts 2018 var det Jennifer Sloan, der indsendte skilsmissepapirer som følge af 'uforenelige forskelle'.


 

Allerede året efter bad Jim Belushi dog retten om at annullere skilsmisseanmodningen.
Ægteskabet med Jennifer Sloan er Jim Belushis tredje.
 








                                            Jim Belushi og Jennifer Sloan skal skilles.
                                                                Foto: FREDERIC J. BROWN


Vis mere


                                            Jim Belushi og Jennifer Sloan skal skilles.
                                                                Foto: FREDERIC J. BROWN




Skuespilleren, der er bedst kendt fra tv-serien 'According to Jim', har tidligere været gift i otte år med Sandra Davenport, som han har en voksen søn med.
Derefter var han i årene 1990 til 1992 gift med Marjorie Bransfield, før han blev gift med Jennifer Sloan i 1998.


 

De to har to børn sammen, datteren Jamison på 22 år og sønnen Jared på 19 år.
Både Page Six og TMZ har forsøgt at få en kommentar fra Jim Belushis talsperson, men denne er ikke vendt tilbage på henvendelserne.

",2021-08-07
Jennifer Aniston svarer igen på vaccinekritik,https://bt.dk/kendte/jennifer-aniston-svarer-igen-pa-vaccinekritik,"

Skuespillerinden Jennifer Aniston er tilhænger af coronavacciner.
Faktisk så stor tilhænger, at hun for nylig udtalte i magasinet InStyle, at hun ville skære folk ud af sit liv, som enten ikke ville vaccineres eller ikke ville fortælle, om de var blevet det eller ej.


 

Det er dog ikke alle, der har taget den udmelding lige pænt.
Men i en story torsdag aften på sin Instagram giver Jennifer Aniston igen til dem, der mener, at hun går for meget op i, hvorvidt andre er vaccinerede, nu hun selv er beskyttet ved at være det.
'Fordi hvis du har varianten, så kan du stadig give den til mig. Jeg bliver måske lidt småsyg, men jeg vil ikke blive indlagt på et hospital eller dø. MEN JEG KAN give den videre til nogen, der ikke har vaccinen, og hvis helbred bliver kompromitteret,' skriver hun.
'Derfor risikerer jeg at sætte deres liv i fare. DERFOR bekymrer jeg mig. Vi er nødt til at tænke på mere end bare os selv her.'


 

Den 52-årige skuespillerinde har da også ret i, at der er en lille risiko for, at man kan blive smittet med corona, selvom man er vaccineret.
Det vil i så fald typisk føre til mildere symptomer på virussen.
Som vaccineret tyder det dog på, at man har sværere ved at bringe smitten videre, selvom den selvfølgelig stadig kan føres videre ved berøring.

Hvad synes du om Jennifer Anistons beslutning om at skære uvaccinerede personer ud af sit liv?



I al fald har Jennifer Aniston taget sine forholdsregler.


 

»Jeg har selv mistet mennesker i mit liv, som har nægtet at fortælle, om de er vaccineret eller ej, og det er meget trist,« forklarede hun i interviewet med InStyle.
»Det er svært, fordi alle har ret til deres egen mening, men jeg føler, der er virkelig mange meninger, som ikke er baseret på andet end frygt og propaganda.«
Jennifer Aniston forklarede ligeledes, at hun mener, det er hendes moralske pligt som offentligt ansigt at informere om de amerikanske anbefalinger under coronakrisen.
Siden pandemien brød ud har, hun været fortaler for social distancering, masker og andre tiltag til at bremse smitten.

",2021-08-07
Hollywood-skuespiller kørt ihjel: Nu er 26-årig mand anholdt,https://bt.dk/kendte/hollywood-skuespiller-koert-ihjel-nu-er-26-aarig-mand-anholdt,"

Den 65-årige Hollywood-skuespillerinde Lisa Banes døde i juni af sine kvæstelser efter at være blevet ramt af en flugtbilist.
Efterfølgende bad skuespillerindens familie om hjælp til at finde gerningsmanden, og nu mener politiet i New York endelig at have fundet ham.


 

En 26-årig mand fra Manhattan ved navn Brian Boyd er nemlig blevet anholdt i sagen, oplyser NYPD fredag.
Han er blevet anklaget for ikke at holde tilbage for en fodgænger og for at forlade en ulykke, der viste sig at få fatale konsekvenser.
Det var patruljerende betjente, der foretog anholdelsen sent torsdag aften, efter de genkendte Brian Boyd fra et internt eftersøgningsbillede, skriver New York Post.


BREAKING: 26-year-old Brian Boyd of Manhattan is charged with Leaving the Scene of an Accident Resulting in Death of actress Lisa Banes https://t.co/Ez1IjdwqwZ— Derick Waller (@wallerABC7) August 6, 2021
 


Ulykken fandt sted fredag 4. juni, hvor politiet blev kaldt til stedet klokken 18.30 amerikansk tid.


 

Her fandt de Lisa Banes liggende på vejen med alvorlige hovedtraumer, og hun blev derfor hastet til hospitalet.
Hun havde været på vej over fodgængerfeltet, da hun blev ramt af en mand på en elscooter, som kørte over for rødt.
Gerningsmanden stak derefter af fra stedet.
Ugen efter stod det klart, at Lisa Banes ikke kunne overleve de skader, der var blevet pådraget hendes hjerne efter sammenstødet.


 

Lisa Banes var særlig kendt for sine roller i filmene 'Gone Girl' og 'Coctail' og har blandt andet også medvirket i filmen 'Six Feet Under' og tv-serien 'Kongen af Queens'.
Hun efterlod sig hustruen Kathryn Kranhold.

",2021-08-07
Felix afslører: Hemmelig ferie med kæresten på Cayx,https://bt.dk/royale/felix-afsloerer-hemmelig-ferie-med-kaeresten-paa-cayx,"

Prins Felix har haft en begivenhedsrig sommer.
23. juni fik han studenterhuen på, og efterfølgende fulgte studenterfesterne.


 

Oven på sådan en omgang kan det være rart at læne sig tilbage og lægge fødderne op. Det er netop, hvad prins Felix har gjort – vel at mærke på en destination, der betyder noget ganske særligt for Kongehuset.
»Jeg har været på Cayx. Det er meget længe siden, jeg har været der. Det var bare mig med nogle venner. Vi nød bare området og så forskellige turistattraktioner,« forklarede han til B.T. ved Copenhagen Historic Grand Prix, hvor hans far, prins Joachim, deltager.
 








                                            Prins Felix efter at han er blevet student fra Gammel Hellerup Gymnasium, onsdag den 23. juni 2021. – og fortsat havde sine lange lokker. (Foto: Mads Claus Rasmussen/Ritzau Scanpix)
                                                                Foto: Mads Claus Rasmussen


Vis mere


                                            Prins Felix efter at han er blevet student fra Gammel Hellerup Gymnasium, onsdag den 23. juni 2021. – og fortsat havde sine lange lokker. (Foto: Mads Claus Rasmussen/Ritzau Scanpix)
                                                                Foto: Mads Claus Rasmussen




Château de Cayx i Frankrig har været ejet af den royale familie siden 1974.
Det var dog ikke kun vennerne, som prins Felix havde selskab af.


 

»Jo, det var det faktisk,« lød det med et smil på læben fra prinsen, da B.T. spurgte ind til, om ferien i det franske også var med kæresten. Karen Bak.
Tidligere på året kom det frem, at prins Felix går fra skolebænken til hæren, hvor han starter på løjtnantuddannelsen.
Noget, der vækker en smule nervøsitet.
»Ja, det er jeg selvfølgelig (nervøs for at starte, red.). Det er jo noget helt nyt, men jeg tror nok, det skal blive godt,« sagde han.


 

Håret har den unge prins i hvert fald allerede på plads. Den karseklippede frisure, han anlagde sig allerede i begyndelsen af studenterugen, er blevet holdt ved lige henover sommeren.
Flere gange er grevinde Alexandra trådt til med trimmeren, men prins Felix satser på snart at kunne tage sagen i egen hånd.
»Jeg er så småt begyndt at øve mig på selv at gøre det. Jeg tænker da at beholde det på den her måde.«

",2021-08-07
Efter skarp kritik: Nu trækker DR i land,https://bt.dk/film-tv-og-streaming/efter-skarp-kritik-nu-traekker-dr-i-land,"

Et nyt datingprogram på DR3 har fået en usædvanlig hård start.
Allerede inden premieren på søndag har 'Matchet på Mælkevejen' nemlig mødt kritik.


 

Det skyldes de tekster, der har præsenteret programmet, der handler om at matche folk ud fra deres stjernetegn, ascendanter og placeringer af sol, måne og planeter i forhold til deres fødselstidspunkt.
Kritikken startede ved Morten Elsøe, der er videnskabelig sundhedsekspert – og som også har figureret som sådan i flere DR-programmer som 'Debatten' og 'Detektor'.


DR for filanNej, astrologi er netop ikke andet end pseudovidenskabDet er i bedste fald uskyldigt selvbedrag og i værste fald svindelVi står midt i en infodemi og verden har desperat brug for mere kritisk tænkningIkke det modsatte, som I her levererTag ansvar! pic.twitter.com/n0hYfzCTQF— Morten Elsøe (@MortenElsoe) August 5, 2021
 


'DR for filan,' skriver han på Twitter til et billede af programpræsentationen.
'Vi står midt i en infodemi, og verden har desperat brug for mere kritisk tænkning. Ikke det modsatte, som I her leverer.'


 

Han harcelerer over, at teksterne, der nu er blevet ændret, ophøjede astrologien til mere end den uvidenskabelige pseudovidenskab, den er anerkendt som.
'Dit næste knald står skrevet i stjernerne. Og astrologien er med som universets bedste wingman,' lød det indledningsvis på programmets hjemmeside.
'Astrologi er mere end poppet pseudovidenskab – et horoskop giver dig indblik i dine styrker og svagheder, og det kan hjælpe dig til at udnytte dit fulde kærlighedspotentiale,' lovede DR.
Astrologien kan 'gøre dig klogere på den måde du og andre agerer i verden', stod der videre.


 

Og den slags beskrivelser har fået Morten Elsøe op i det røde felt.
'Astrologi er netop ikke andet end pseudovidenskab. Det er i bedste fald uskyldigt selvbedrag og i værste fald svindel,' slår han fast.
 








                                            I 'Matchet på Mælkevejen' bliver deltagerne parret efter deres fødselshoroskop af astrologerne Amalie Francesca og Marianne Gellert, kendt fra astrologipodcasten 'Astopod'. Her ses deltagerne Trine og Adrian, der er blevet matchet i programmet.
                                                        

Vis mere


                                            I 'Matchet på Mælkevejen' bliver deltagerne parret efter deres fødselshoroskop af astrologerne Amalie Francesca og Marianne Gellert, kendt fra astrologipodcasten 'Astopod'. Her ses deltagerne Trine og Adrian, der er blevet matchet i programmet.
                                                        



Over for B.T. oplyser DR, at de oprindelige formuleringer i markedsføringen af programserien simpelthen ikke ramte skiven, og derfor er det rettet til, så det tydeligere flugter med programseriens intention.
Således beskrives astrologien bag 'Matchet på Mælkevejen' nu i stedet i fuldstændig strakt arm.


 

De nye beskrivelser lyder således:
'Står dit næste knald skrevet i stjernerne? Hvis man skal tro astrologien, kan den være universets bedste wingman.'
'DR3 tester, om megatrenden astrologi kan hjælpe dig til at udnytte dit fulde kærlighedspotentiale.'
'Men måske kan astrologien gøre dig klogere på den måde, du og andre agerer i verden.'

",2021-08-07
